date,open,high,low,close,volume
2025-01-13,41.0,41.7,40.8,40.9,49325493.0
2025-01-14,41.2,42.25,41.05,42.25,37186189.0
2025-01-15,42.05,42.5,41.45,41.45,36667637.0
2025-01-16,41.9,42.25,41.55,41.55,37412485.0
2025-01-17,41.4,41.75,41.2,41.2,44241179.0
2025-01-20,41.55,42.75,41.5,42.75,47464919.0
2025-01-21,42.75,43.3,42.4,42.95,42396410.0
2025-01-22,39.7,40.55,39.7,40.2,149025482.0
2025-02-03,40.2,41.65,40.0,40.5,112511997.0
2025-02-04,40.95,40.95,40.1,40.1,58336092.0
2025-02-05,40.4,40.65,40.1,40.1,34136699.0
2025-02-06,40.3,40.35,39.95,40.1,32830275.0
2025-02-07,40.1,40.3,40.1,40.15,23231817.0
2025-02-10,40.15,40.3,39.9,40.2,31106682.0
2025-02-11,40.3,40.5,40.15,40.4,29978227.0
2025-02-12,40.4,40.5,40.05,40.1,28301284.0
2025-02-13,40.25,41.75,40.2,41.4,64119946.0
2025-02-14,41.5,41.75,41.05,41.4,28678717.0
2025-02-17,41.5,42.2,41.45,42.0,33131130.0
2025-02-18,42.05,42.3,41.7,41.95,36105442.0
2025-02-19,42.2,42.95,42.15,42.55,54879870.0
2025-02-20,43.0,43.3,42.85,43.0,40230687.0
2025-02-21,43.35,43.6,43.2,43.6,34489308.0
2025-02-24,43.05,43.65,42.8,43.55,30334019.0
2025-02-25,43.05,43.5,42.9,43.3,36339641.0
2025-02-26,43.1,43.8,43.05,43.6,35296664.0
2025-02-27,44.0,44.15,43.4,43.7,69493077.0
2025-03-03,43.1,43.6,42.85,43.6,53313266.0
2025-03-04,42.95,43.85,42.9,43.6,44412629.0
2025-03-05,44.1,44.5,43.7,44.0,46628841.0
2025-03-06,44.3,44.45,43.9,44.0,30510374.0
2025-03-07,44.0,44.6,43.8,44.15,31930282.0
2025-03-10,44.55,45.3,44.4,45.05,59203254.0
2025-03-11,44.3,45.0,44.2,44.85,68311501.0
2025-03-12,44.7,44.95,44.1,44.8,43460814.0
