date,open,high,low,close,volume
2025-01-06,158.5,158.5,156.0,158.0,2892730.0
2025-01-07,159.0,160.0,157.5,159.0,3197540.0
2025-01-08,160.0,163.0,159.5,159.5,5402858.0
2025-01-09,160.0,160.5,155.5,155.5,3061982.0
2025-01-10,157.0,159.0,154.0,155.0,3897393.0
2025-01-13,155.0,155.5,149.5,152.5,3356548.0
2025-01-14,153.0,155.5,151.5,152.5,1984622.0
2025-01-15,153.5,153.5,147.0,147.5,6310506.0
2025-01-16,149.5,149.5,146.5,147.5,4079798.0
2025-01-17,148.0,148.0,144.5,145.5,3818998.0
2025-01-20,145.5,148.0,145.0,147.0,2489483.0
2025-01-21,147.0,152.0,146.5,152.0,2970144.0
2025-01-22,152.5,155.5,152.0,155.0,4953674.0
2025-02-03,151.5,153.0,149.0,153.0,3578627.0
2025-02-04,153.0,153.5,150.0,150.0,1837124.0
2025-02-05,152.0,153.0,151.0,151.0,1516267.0
2025-02-06,152.0,154.0,151.5,154.0,2315538.0
2025-02-07,154.0,154.0,152.0,152.0,1293785.0
2025-02-10,150.5,151.0,149.0,149.5,1914589.0
2025-02-11,150.0,151.5,148.0,148.0,4924693.0
2025-02-12,148.5,148.5,146.5,146.5,3236867.0
2025-02-13,148.0,151.0,146.5,149.0,3815369.0
2025-02-14,149.5,150.5,147.5,148.0,2773432.0
2025-02-17,149.5,150.5,149.0,149.5,1491977.0
2025-02-18,149.5,150.5,149.0,150.0,1512216.0
2025-02-19,150.5,152.5,149.5,150.5,4130108.0
2025-02-20,151.5,164.5,151.0,162.5,34786690.0
2025-02-21,162.5,172.0,160.5,160.5,65255412.0
2025-02-24,160.0,163.5,158.5,158.5,18109458.0
2025-02-25,157.0,157.5,154.0,154.0,10513471.0
2025-02-26,154.5,156.0,153.0,154.5,6246276.0
2025-02-27,155.0,156.5,151.5,152.0,7175166.0
2025-03-03,150.5,152.0,149.0,149.0,4979611.0
2025-03-04,147.0,148.5,145.0,148.0,5883553.0
2025-03-05,148.5,151.5,147.5,150.0,5991607.0
2025-03-06,150.5,151.5,147.5,148.0,6027078.0
2025-03-07,147.5,149.5,146.0,146.0,5176937.0
2025-03-10,147.0,148.5,145.5,145.5,4331690.0
2025-03-11,142.5,144.0,140.0,144.0,6052102.0
2025-03-12,144.5,146.5,143.5,146.0,2526965.0
2025-03-13,147.0,147.5,143.0,143.5,3244579.0
2025-03-14,144.0,146.0,142.0,145.5,3726465.0
2025-03-17,146.5,147.0,145.0,145.0,1923003.0
2025-03-18,146.0,146.5,145.0,145.0,1489073.0
2025-03-19,145.5,146.5,143.0,143.0,2201304.0
2025-03-20,144.5,146.5,144.5,146.5,1774310.0
2025-03-21,146.5,148.0,145.5,146.0,2719316.0
2025-03-24,148.0,150.0,146.5,148.0,3810218.0
2025-03-25,150.0,150.0,146.5,147.0,2946745.0
2025-03-26,148.5,152.0,148.0,150.5,6970214.0
2025-03-27,149.5,151.0,148.5,150.5,4510994.0
2025-03-28,149.5,150.5,144.0,145.5,7915258.0
2025-03-31,139.5,140.5,131.0,131.0,14091877.0
2025-04-01,131.0,132.5,128.0,132.5,6314675.0
2025-04-02,132.0,138.5,132.0,135.5,10034984.0
2025-04-07,122.0,122.0,122.0,122.0,1915228.0
2025-04-08,110.0,116.0,110.0,112.5,15760457.0
2025-04-09,111.5,116.0,104.0,106.5,19485530.0
2025-04-10,117.0,117.0,117.0,117.0,1426353.0
2025-04-11,117.0,125.5,114.5,125.5,17401869.0
2025-04-14,127.5,129.5,124.5,126.0,9510931.0
2025-04-15,126.5,130.5,126.0,129.0,7255596.0
2025-04-16,127.5,130.5,126.0,126.0,4111574.0
2025-04-17,126.0,126.5,122.5,125.5,4049828.0
2025-04-18,126.5,127.5,125.0,126.0,2349317.0
2025-04-21,125.5,127.0,121.0,122.0,3312887.0
2025-04-22,119.5,123.0,119.0,120.5,3752498.0
2025-04-23,123.5,125.0,122.5,123.0,4077315.0
2025-04-24,124.0,125.0,122.5,124.0,2016585.0
2025-04-25,124.5,125.5,122.5,123.0,5452336.0
2025-04-28,123.5,125.5,123.0,125.5,3593824.0
2025-04-29,126.0,128.5,124.5,128.0,3806752.0
2025-04-30,128.5,130.0,126.5,127.0,3332079.0
2025-05-02,129.0,139.0,128.0,135.5,24073810.0
2025-05-05,137.0,145.0,137.0,138.0,37798025.0
2025-05-06,137.0,139.0,134.5,138.5,7508073.0
2025-05-07,138.5,138.5,135.5,137.5,4227895.0
2025-05-08,139.0,141.0,138.0,138.5,3715575.0
2025-05-09,137.0,139.0,136.0,136.5,6990374.0
2025-05-12,137.0,139.0,137.0,137.5,6772474.0
2025-05-13,139.0,140.0,137.5,140.0,6551255.0
2025-05-14,142.0,143.5,140.5,142.5,5814138.0
2025-05-15,142.5,144.5,141.0,144.0,4441576.0
2025-05-16,146.0,156.5,146.0,151.0,36966079.0
2025-05-19,152.5,154.5,150.0,151.5,22973315.0
2025-05-20,153.0,153.5,148.0,149.5,8103343.0
2025-05-21,150.0,151.5,148.5,151.5,4014258.0
2025-05-22,152.5,156.5,151.0,151.5,18797559.0
2025-05-23,152.5,153.5,151.5,153.5,5895688.0
2025-05-26,154.0,154.5,151.0,152.5,4236186.0
