date,open,high,low,close,volume
2025-01-13,40.4,40.4,38.9,39.9,5628840.0
2025-01-14,40.0,40.3,39.5,39.8,2262260.0
2025-01-15,39.7,40.35,39.7,39.7,2662269.0
2025-01-16,40.3,40.35,39.65,39.7,1628655.0
2025-01-17,39.55,39.9,39.5,39.6,1276437.0
2025-01-20,39.6,40.0,39.15,39.9,2143127.0
2025-01-21,40.0,40.35,39.9,40.25,1520939.0
2025-01-22,40.5,41.0,40.25,41.0,2234543.0
2025-02-03,40.5,40.8,39.75,40.45,2604462.0
2025-02-04,40.55,40.7,39.9,39.95,1959253.0
2025-02-05,40.3,40.6,40.2,40.6,1532824.0
2025-02-06,40.85,41.3,40.6,41.25,1857808.0
2025-02-07,41.05,41.15,40.6,40.7,1682629.0
2025-02-10,40.45,42.0,40.3,41.5,3782214.0
2025-02-11,41.8,42.05,41.0,41.0,2563608.0
2025-02-12,41.0,41.25,40.75,40.75,1468329.0
2025-02-13,40.85,41.75,40.8,41.65,2622483.0
2025-02-14,41.7,42.95,41.7,42.8,5689898.0
2025-02-17,43.25,43.25,42.3,42.45,2998421.0
2025-02-18,42.5,42.8,42.15,42.25,1576189.0
2025-02-19,42.35,42.95,42.3,42.65,2296025.0
2025-02-20,42.65,46.3,42.65,45.45,28049882.0
2025-02-21,45.45,47.15,44.5,45.0,35775908.0
2025-02-24,44.65,45.05,44.2,44.5,7466126.0
2025-02-25,45.0,45.0,43.85,43.85,6289046.0
2025-02-26,44.9,46.2,44.0,44.0,12776963.0
2025-02-27,44.05,44.4,43.05,43.05,4930976.0
2025-03-03,42.7,42.95,42.05,42.05,2975010.0
2025-03-04,41.7,42.45,41.25,42.45,2454176.0
2025-03-05,42.3,43.3,42.2,43.05,3028436.0
2025-03-06,43.45,43.45,42.2,42.2,2997410.0
2025-03-07,42.1,42.5,41.75,41.75,2886082.0
2025-03-10,41.7,42.65,41.7,42.2,2802999.0
2025-03-11,41.55,41.65,40.75,41.6,3969198.0
2025-03-12,41.8,43.15,41.8,43.0,5344374.0
2025-03-13,43.15,43.7,42.25,42.4,4216532.0
2025-03-14,42.6,43.45,42.3,43.3,3446238.0
2025-03-17,43.7,44.0,43.15,43.35,2819232.0
2025-03-18,43.7,43.75,43.35,43.4,1683335.0
2025-03-19,43.4,43.6,42.7,42.7,2895543.0
2025-03-20,43.0,43.55,42.95,43.55,2163456.0
2025-03-21,43.55,44.15,43.25,43.5,2793986.0
2025-03-24,44.1,44.5,43.65,43.7,3886712.0
2025-03-25,44.1,44.1,42.75,42.85,3525305.0
2025-03-26,42.95,45.5,42.95,44.85,22353131.0
2025-03-27,45.35,46.2,44.1,44.1,38254059.0
2025-03-28,43.95,44.0,42.1,42.5,13441908.0
2025-03-31,40.5,40.9,39.0,39.2,12166851.0
2025-04-01,39.2,39.45,38.75,39.3,7387264.0
