date,open,high,low,close,volume
2025-01-09,23406.72,23463.96,23081.13,23081.13,6729365148.0
2025-01-10,23067.46,23202.25,22989.67,23011.86,6018777446.0
2025-01-13,23070.32,23070.32,22458.22,22488.33,7967679227.0
2025-01-14,22573.96,22797.52,22542.93,22797.52,5077382309.0
2025-01-15,22757.46,22777.34,22509.65,22514.57,5200875025.0
2025-01-16,22817.52,23147.69,22817.52,23025.1,5748443851.0
2025-01-17,23190.12,23209.88,22905.53,23148.08,5442058343.0
2025-01-20,23203.47,23346.64,23176.43,23266.82,5022728587.0
2025-01-21,23266.49,23377.64,23174.02,23300.01,4315813970.0
2025-01-22,23472.67,23642.08,23472.67,23525.41,5160999257.0
2025-02-03,22796.71,22796.71,22502.2,22694.71,7689151963.0
2025-02-04,22836.27,22934.31,22720.62,22793.96,6940459300.0
2025-02-05,22916.38,23249.33,22916.38,23161.58,5984578780.0
2025-02-06,23226.5,23348.42,23216.65,23316.6,5581052121.0
2025-02-07,23289.97,23478.27,23254.17,23478.27,5980328909.0
2025-02-10,23421.77,23448.16,23163.85,23252.14,5799480347.0
2025-02-11,23321.92,23485.51,23289.76,23384.05,5923166370.0
2025-02-12,23449.31,23528.61,23289.75,23289.75,6224128986.0
2025-02-13,23263.28,23413.1,23206.45,23399.41,7333190894.0
2025-02-14,23198.39,23276.24,23142.95,23152.61,7543572464.0
2025-02-17,23258.17,23510.68,23242.84,23505.33,7348992216.0
2025-02-18,23550.5,23666.11,23454.09,23666.11,6663218845.0
2025-02-19,23589.44,23683.46,23550.99,23604.08,7287234134.0
2025-02-20,23530.97,23576.71,23400.75,23487.46,7049129458.0
2025-02-21,23526.13,23732.58,23488.42,23730.25,7160637295.0
2025-02-24,23573.8,23605.22,23461.43,23565.31,7075015428.0
2025-02-25,23376.42,23376.42,23209.53,23285.72,7531906148.0
2025-02-26,23221.84,23431.24,23156.02,23402.55,6886556787.0
2025-02-27,23446.46,23487.73,23053.18,23053.18,8994191747.0
2025-03-03,22734.05,22775.02,22611.1,22756.25,7315722624.0
2025-03-04,22508.8,22700.94,22359.5,22596.88,7667305249.0
2025-03-05,22778.86,22948.3,22757.22,22871.9,7220068963.0
2025-03-06,22930.11,22979.97,22715.43,22715.43,6624545535.0
2025-03-07,22696.23,22747.11,22542.08,22576.07,6465829764.0
2025-03-10,22548.98,22641.25,22407.57,22459.15,6345999382.0
2025-03-11,22126.06,22140.39,21769.57,22071.09,8053156074.0
2025-03-12,22171.1,22391.47,22153.61,22278.36,6682514475.0
2025-03-13,22403.34,22552.43,21961.68,21961.68,7430996227.0
2025-03-14,21986.81,22074.03,21895.9,21968.05,7243124747.0
2025-03-17,22137.53,22306.83,22110.08,22118.63,6360352806.0
2025-03-18,22204.62,22327.1,22186.42,22271.67,5824074264.0
2025-03-19,22245.42,22247.66,21942.69,21960.83,6087757032.0
2025-03-20,22171.0,22377.26,22171.0,22377.26,5714382919.0
2025-03-21,22362.38,22366.95,22200.23,22209.1,6429617622.0
2025-03-24,22348.38,22380.73,22106.64,22106.64,5021528942.0
2025-03-25,22269.37,22414.02,22228.68,22273.19,4993587020.0
2025-03-26,22327.61,22398.12,22235.89,22260.29,4406501724.0
2025-03-27,22093.2,22093.2,21919.4,21951.76,5608186918.0
2025-03-28,21836.16,21836.16,21525.05,21602.89,6814236162.0
2025-03-31,21254.63,21254.63,20695.9,20695.9,8683910354.0
2025-04-01,20884.53,21315.52,20884.53,21280.17,5826078127.0
2025-04-02,21313.77,21390.52,21235.99,21298.22,4985282024.0
2025-04-07,20153.57,20153.57,19212.02,19232.35,5683302502.0
2025-04-08,19064.47,19064.47,18180.48,18459.95,12393863553.0
2025-04-09,18337.44,18371.52,17306.97,17391.76,12614257140.0
2025-04-10,18256.47,19024.47,18256.47,19000.03,5329120133.0
2025-04-11,18772.5,19528.77,18418.2,19528.77,9129660662.0
2025-04-14,19686.68,20023.63,19508.93,19513.09,7665646173.0
2025-04-15,19609.9,19895.43,19576.15,19857.67,5242983763.0
2025-04-16,19737.09,19737.09,19453.14,19468.0,5216346236.0
2025-04-17,19389.52,19478.0,19196.47,19338.73,4599431706.0
2025-04-18,19423.98,19499.28,19376.35,19395.03,3792878040.0
2025-04-21,19321.14,19359.96,19080.6,19106.2,4486948824.0
2025-04-22,18990.86,19059.65,18793.43,18793.43,4881720763.0
2025-04-23,19163.61,19639.14,19163.61,19639.14,5314940502.0
2025-04-24,19752.59,19752.59,19433.37,19478.81,4358134847.0
2025-04-25,19861.24,20012.27,19861.24,19872.73,4961167477.0
2025-04-28,19972.07,20073.75,19972.07,20034.41,3948682101.0
2025-04-29,20018.32,20232.63,20007.3,20232.63,4654115665.0
2025-04-30,20215.39,20331.89,20185.31,20235.03,5103616376.0
2025-05-02,20534.08,20787.64,20534.08,20787.64,5955569594.0
2025-05-05,20839.04,20885.54,20320.8,20532.99,7760468724.0
2025-05-06,20353.88,20623.85,20349.56,20522.59,5768063988.0
2025-05-07,20575.15,20685.28,20418.03,20546.49,5075266647.0
2025-05-08,20559.65,20747.28,20543.4,20543.4,4516660206.0
2025-05-09,20690.8,20915.04,20643.56,20915.04,5297103516.0
2025-05-12,20996.95,21176.13,20996.95,21129.54,5246162892.0
2025-05-13,21474.02,21626.28,21330.14,21330.14,6807098682.0
2025-05-14,21552.42,21782.87,21552.42,21782.87,6994105576.0
2025-05-15,21776.65,21821.01,21674.32,21730.25,6398847326.0
2025-05-16,21731.88,21854.5,21697.85,21843.69,6558510923.0
2025-05-19,21786.33,21786.33,21496.69,21523.83,6118958991.0
2025-05-20,21631.61,21746.56,21517.1,21526.03,5030140371.0
2025-05-21,21603.58,21879.24,21603.58,21803.91,5594779740.0
2025-05-22,21733.82,21733.82,21585.31,21670.96,5976457767.0
2025-05-23,21766.24,21798.88,21559.78,21652.24,5316070068.0
2025-05-26,21577.64,21688.45,21536.57,21536.57,5330804601.0
2025-05-27,21491.65,21558.47,21310.0,21336.54,5893760181.0
2025-05-28,21539.15,21634.37,21305.73,21357.72,5670506053.0
2025-05-29,21531.29,21605.26,21347.3,21347.3,7561868814.0
2025-06-02,21253.97,21256.1,20940.98,21002.71,6799184355.0
2025-06-03,21126.7,21303.21,21110.63,21126.93,6212282158.0
2025-06-04,21341.44,21618.09,21341.44,21618.09,6939766989.0
2025-06-05,21695.93,21738.93,21626.74,21674.43,6479408591.0
